trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
79,False,"{'a': 0.19999999999999948, 'e': 0.20597509820488344}",30,13,30.301918587480554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.19999999999999948, 'e': 0.20189651799465538}",30,16,4.190527157226866,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.19999999999999948, 'e': 0.19789869908361465}",20,8,14.499584542200086,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.19999999999999948, 'e': 0.19398004229089189}",25,10,23.895749911562575,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.19999999999999948, 'e': 0.1901389801015205}",35,19,-38.58118516993225,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.19999999999999948, 'e': 0.18637397603940997}",20,10,20.005770839727834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.19999999999999948, 'e': 0.18268352405273466}",20,11,15.84590189022669,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.19999999999999948, 'e': 0.17906614791149322}",25,8,-8.339687306080629,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.19999999999999948, 'e': 0.17552040061699686}",25,16,15.254681378009199,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.19999999999999948, 'e': 0.17204486382305054}",30,20,14.182111955143771,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.19999999999999948, 'e': 0.1686381472685955}",25,15,15.702464238520937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.19999999999999948, 'e': 0.16529888822158653}",20,14,12.232456574602939,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.19999999999999948, 'e': 0.16202575093388075}",20,8,18.212478900495928,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
